model,dataset_note,slice,num_examples,accuracy,macro_f1,avg_review_length
TF-IDF + Logistic Regression,Full IMDb test set,short_reviews,8390,0.8877234803337306,0.8875619538986057,101.93444576877235
TF-IDF + Logistic Regression,Full IMDb test set,medium_reviews,8144,0.8772102161100196,0.8771798762243406,175.12905206286837
TF-IDF + Logistic Regression,Full IMDb test set,long_reviews,8466,0.8763288447909284,0.8762841022406518,405.3491613512875
TF-IDF + Logistic Regression,Full IMDb test set,negation_reviews,18555,0.8790622473726758,0.8786847846608907,257.68046348693076
TF-IDF + Logistic Regression,Full IMDb test set,non_negation_reviews,6445,0.8844065166795966,0.8811678107933121,144.59363847944144
TF-IDF + Naive Bayes,Full IMDb test set,short_reviews,8390,0.8636471990464839,0.8636471293127589,101.93444576877235
TF-IDF + Naive Bayes,Full IMDb test set,medium_reviews,8144,0.8481090373280943,0.8477361898108571,175.12905206286837
TF-IDF + Naive Bayes,Full IMDb test set,long_reviews,8466,0.8412473423104181,0.8412132778883186,405.3491613512875
TF-IDF + Naive Bayes,Full IMDb test set,negation_reviews,18555,0.8499595796281326,0.8490718964337307,257.68046348693076
TF-IDF + Naive Bayes,Full IMDb test set,non_negation_reviews,6445,0.8539953452288596,0.851157017542245,144.59363847944144
Lightweight CNN,Full IMDb test set,short_reviews,8390,0.8750893921334922,0.8750892146834868,101.93444576877235
Lightweight CNN,Full IMDb test set,medium_reviews,8144,0.8549852652259332,0.8541644026894647,175.12905206286837
Lightweight CNN,Full IMDb test set,long_reviews,8466,0.7994330262225372,0.7975708162237509,405.3491613512875
Lightweight CNN,Full IMDb test set,negation_reviews,18555,0.8369172729722447,0.8344900575940828,257.68046348693076
Lightweight CNN,Full IMDb test set,non_negation_reviews,6445,0.8602017067494182,0.8579355583032535,144.59363847944144
DistilBERT,"5,000-example test subset",short_reviews,1655,0.908761329305136,0.9083564821181367,101.92930513595167
DistilBERT,"5,000-example test subset",medium_reviews,1651,0.8606904906117504,0.8606879862878207,174.9145972138098
DistilBERT,"5,000-example test subset",long_reviews,1694,0.7904368358913814,0.7899325368256433,398.9663518299882
DistilBERT,"5,000-example test subset",negation_reviews,3738,0.842964151952916,0.8428750788683743,254.70171214553238
DistilBERT,"5,000-example test subset",non_negation_reviews,1262,0.881933438985737,0.8760476961725594,143.62202852614897
